customer_id,senior_citizen,partner,tenure_months,contract,internet_service,payment_method,paperless_billing,monthly_charges,total_charges,support_calls,churn
C100089,0,No,22,Month-to-month,No,Bank transfer,Yes,40.74,926.25,1,Yes
C100090,0,Yes,0,Month-to-month,No,Electronic check,Yes,55.4,,2,No
C100091,0,Yes,4,One year,No,Electronic check,Yes,123.12,472.69,2,No
C100092,1,No,34,Month-to-month,No,Bank transfer,Yes,74.3,2472.49,2,No
C100093,0,No,19,Month-to-month,No,Bank transfer,No,46.25,902.57,1,No
C100094,0,Yes,6,Month-to-month,DSL,Credit card,No,18.0,89.6,0,No
C100095,0,No,29,One year,Fiber optic,Mailed check,Yes,18.36,503.75,2,No
C100096,0,Yes,32,Month-to-month,Fiber optic,Electronic check,Yes,53.91,1682.24,1,Yes
C100097,0,No,72,Month-to-month,Fiber optic,Mailed check,No,50.99,3635.3,3,No
C100098,0,Yes,48,Month-to-month,Fiber optic,Bank transfer,Yes,63.28,3013.41,0,No
C100099,0,No,28,Two year,Fiber optic,Electronic check,No,18.0,498.03,2,No
C100100,0,Yes,34,Two year,No,Mailed check,Yes,67.25,2256.28,1,No
C100101,0,No,6,One year,Fiber optic,Electronic check,No,100.83,609.62,0,Yes
C100102,0,No,28,Month-to-month,No,Credit card,Yes,118.69,3317.16,2,No
C100103,0,Yes,42,Two year,DSL,Credit card,Yes,18.0,811.55,4,No
C100104,1,Yes,1,One year,DSL,Mailed check,Yes,45.96,3.35,1,No
C100105,1,Yes,67,One year,DSL,Credit card,Yes,44.37,2976.83,1,No
C100106,0,Yes,37,Month-to-month,Fiber optic,Credit card,Yes,74.37,2756.04,0,Yes
C100107,0,Yes,57,Month-to-month,DSL,Electronic check,Yes,33.41,1878.61,2,No
C100108,0,Yes,20,Month-to-month,Fiber optic,Mailed check,Yes,120.47,2411.78,1,Yes
C100109,1,No,61,Two year,No,Bank transfer,No,71.31,4369.15,0,Yes
C100110,1,Yes,26,Month-to-month,Fiber optic,Electronic check,Yes,66.31,1726.47,0,Yes
C100111,0,No,67,Month-to-month,Fiber optic,Mailed check,Yes,117.78,7925.87,3,Yes
C100112,0,No,38,Month-to-month,DSL,Electronic check,Yes,69.52,2587.32,1,Yes
C100113,0,Yes,46,One year,DSL,Credit card,Yes,82.01,3751.4,0,No
C100114,0,No,14,Month-to-month,DSL,Mailed check,Yes,47.48,701.6,1,No
C100115,1,No,72,Two year,DSL,Bank transfer,No,28.88,2102.16,1,No
C100116,1,No,14,One year,Fiber optic,Mailed check,No,51.69,737.17,1,Yes
C100117,1,No,2,One year,DSL,Electronic check,No,130.0,290.83,2,Yes
C100118,0,Yes,32,Month-to-month,Fiber optic,Credit card,No,88.99,2799.77,0,Yes
C100119,0,No,60,One year,Fiber optic,Electronic check,Yes,78.24,4714.29,1,No
C100120,1,No,67,One year,Fiber optic,Electronic check,No,40.71,2754.18,0,No
C100121,0,No,62,One year,Fiber optic,Mailed check,Yes,97.34,6018.61,1,Yes
C100122,0,No,40,Month-to-month,Fiber optic,Bank transfer,Yes,29.27,1236.53,0,No
C100123,0,No,66,Month-to-month,DSL,Mailed check,No,22.99,1522.25,1,Yes
C100124,0,No,35,Month-to-month,Fiber optic,Electronic check,Yes,53.23,1808.23,1,No
C100125,0,Yes,34,Month-to-month,Fiber optic,Electronic check,No,128.63,4382.95,1,No
C100126,1,Yes,13,Month-to-month,DSL,Electronic check,No,126.94,1632.22,1,Yes
C100127,0,No,57,Month-to-month,Fiber optic,Electronic check,Yes,56.46,3247.34,2,Yes
C100128,0,No,23,Month-to-month,DSL,Mailed check,No,49.77,1158.41,0,Yes
C100129,0,No,14,One year,No,Electronic check,No,20.79,276.11,1,Yes
C100130,0,No,26,Month-to-month,Fiber optic,Electronic check,Yes,72.34,1918.4,1,Yes
C100131,0,No,44,Two year,No,Bank transfer,No,74.86,3317.33,0,No
C100132,0,Yes,19,One year,Fiber optic,Bank transfer,No,93.69,1759.41,0,Yes
C100133,0,Yes,26,Month-to-month,Fiber optic,Electronic check,Yes,97.32,2526.52,3,Yes
C100134,0,No,24,One year,DSL,Electronic check,Yes,64.08,1550.84,1,Yes
C100135,0,No,43,Month-to-month,DSL,Electronic check,Yes,86.68,3718.13,2,Yes
C100136,0,Yes,52,Two year,No,Credit card,Yes,48.98,2538.6,0,No
C100137,0,Yes,49,Month-to-month,Fiber optic,Electronic check,No,86.11,4220.31,0,Yes
C100138,0,No,10,One year,DSL,Electronic check,Yes,54.78,521.16,2,No
C100139,0,Yes,25,Month-to-month,Fiber optic,Mailed check,No,83.78,2038.68,3,No
C100140,0,No,47,Month-to-month,Fiber optic,Electronic check,No,81.36,3829.9,0,Yes
C100141,0,Yes,15,Month-to-month,Fiber optic,Electronic check,Yes,72.06,1031.18,1,Yes
C100142,0,No,5,Two year,No,Electronic check,Yes,93.84,444.37,0,No
C100143,0,Yes,23,One year,Fiber optic,Bank transfer,No,22.89,482.18,0,No
C100144,0,No,49,Month-to-month,No,Bank transfer,No,38.05,1823.24,1,No
C100145,0,Yes,48,Month-to-month,DSL,Bank transfer,No,61.9,2981.86,2,No
C100146,0,Yes,9,Month-to-month,DSL,Bank transfer,Yes,26.7,234.74,5,No
C100147,0,Yes,49,Month-to-month,DSL,Electronic check,No,57.79,2825.25,0,No
C100148,0,Yes,14,Month-to-month,No,Credit card,Yes,58.76,789.74,3,Yes
C100149,0,No,54,Month-to-month,Fiber optic,Bank transfer,No,109.29,5885.26,1,No
C100150,1,Yes,41,Two year,Fiber optic,Credit card,No,74.28,3054.89,1,No
C100151,0,No,9,Two year,DSL,Bank transfer,Yes,100.88,906.62,2,No
C100152,0,Yes,25,Month-to-month,Fiber optic,Mailed check,Yes,79.05,1996.82,1,Yes
C100153,0,No,59,One year,Fiber optic,Electronic check,No,53.93,3206.0,1,Yes
C100154,0,No,31,Month-to-month,Fiber optic,Mailed check,Yes,74.01,2288.0,0,Yes
C100155,1,No,50,One year,Fiber optic,Electronic check,Yes,91.88,4547.69,1,No
C100156,1,Yes,54,Month-to-month,Fiber optic,Mailed check,Yes,105.8,5694.28,2,Yes
C100157,1,Yes,2,One year,Fiber optic,Electronic check,Yes,66.03,129.62,1,No
C100158,0,No,67,One year,No,Electronic check,Yes,20.57,1358.78,3,No
C100159,1,Yes,24,One year,Fiber optic,Credit card,Yes,18.47,416.91,3,No
C100160,0,No,57,Month-to-month,No,Bank transfer,Yes,60.21,3433.71,1,No
C100161,1,No,34,Two year,No,Mailed check,No,18.0,672.76,1,No
C100162,0,No,42,Month-to-month,Fiber optic,Mailed check,Yes,123.85,5189.5,1,Yes
C100163,1,Yes,26,Month-to-month,DSL,Bank transfer,Yes,87.91,2285.59,0,Yes
C100164,0,Yes,62,One year,DSL,Credit card,Yes,50.93,3124.86,1,No
C100165,0,Yes,8,Month-to-month,DSL,Bank transfer,No,36.71,324.77,1,Yes
C100166,1,No,65,Two year,Fiber optic,Bank transfer,Yes,100.84,6576.47,0,No
C100167,0,No,15,Two year,Fiber optic,Mailed check,Yes,36.59,568.99,0,No
C100168,1,Yes,64,Month-to-month,Fiber optic,Mailed check,Yes,39.45,2558.79,0,Yes
C100169,0,No,1,Two year,DSL,Bank transfer,No,47.02,36.34,1,No
C100170,0,Yes,1,Month-to-month,No,Credit card,Yes,73.42,65.86,2,No
C100171,0,Yes,6,Month-to-month,DSL,Mailed check,Yes,88.62,574.47,0,No
C100172,0,No,39,Month-to-month,DSL,Mailed check,No,105.78,4141.24,1,No
C100173,0,No,19,Two year,No,Mailed check,Yes,101.35,1870.17,2,No
C100174,0,Yes,43,Month-to-month,DSL,Mailed check,No,70.02,3022.23,0,No
C100175,0,Yes,59,Month-to-month,Fiber optic,Credit card,Yes,100.62,5922.04,3,No
C100176,0,Yes,1,Month-to-month,No,Bank transfer,Yes,49.87,72.32,0,Yes
C100177,0,Yes,38,Two year,Fiber optic,Mailed check,No,18.0,694.2,2,No
C100178,0,No,53,Two year,Fiber optic,Mailed check,Yes,49.87,2599.6,1,No
C100179,1,Yes,30,One year,DSL,Mailed check,Yes,45.81,1381.02,1,No
C100180,0,Yes,67,Two year,No,Electronic check,No,51.04,3424.95,1,No
C100181,0,Yes,48,Two year,Fiber optic,Mailed check,Yes,41.22,1987.65,1,No
C100182,0,No,2,Month-to-month,DSL,Credit card,No,56.17,126.73,2,Yes
C100183,0,No,39,Month-to-month,Fiber optic,Bank transfer,No,88.6,3492.8,1,No
C100184,1,No,28,One year,Fiber optic,Electronic check,Yes,121.46,3411.23,1,No
C100185,0,No,9,One year,Fiber optic,Bank transfer,No,18.24,164.73,0,No
C100186,0,Yes,69,Month-to-month,DSL,Bank transfer,Yes,31.37,2193.23,1,No
C100187,0,Yes,16,Month-to-month,No,Electronic check,Yes,46.26,796.23,0,No
C100188,0,Yes,6,One year,Fiber optic,Bank transfer,Yes,92.97,580.7,3,No
C100189,0,Yes,16,Month-to-month,Fiber optic,Bank transfer,Yes,63.85,1026.76,2,Yes
C100190,0,No,60,Two year,Fiber optic,Credit card,Yes,48.28,2907.61,0,No
C100191,0,Yes,43,Month-to-month,Fiber optic,Electronic check,Yes,91.5,3940.9,1,No
C100192,0,Yes,59,Month-to-month,DSL,Electronic check,Yes,98.69,5823.17,0,No
C100193,0,Yes,33,Two year,DSL,Mailed check,Yes,69.44,2345.65,0,No
C100194,0,Yes,8,Month-to-month,DSL,Electronic check,Yes,45.51,345.35,2,Yes
C100195,0,Yes,28,Month-to-month,Fiber optic,Mailed check,No,78.11,2215.95,1,No
C100196,0,Yes,14,One year,DSL,Bank transfer,Yes,63.0,878.85,0,No
C100197,0,No,40,Two year,Fiber optic,Electronic check,Yes,62.77,2473.79,0,No
C100198,0,Yes,19,Month-to-month,Fiber optic,Mailed check,No,54.63,1033.26,0,No
C100199,0,No,70,Month-to-month,No,Credit card,Yes,97.75,6828.83,1,No
C100200,0,No,27,One year,DSL,Mailed check,No,77.5,2106.94,2,No
C100201,0,Yes,22,Two year,No,Mailed check,No,101.07,2225.82,3,No
C100202,0,Yes,71,Month-to-month,No,Mailed check,Yes,110.09,7790.84,1,No
C100203,0,Yes,37,Month-to-month,DSL,Electronic check,Yes,83.77,3136.27,0,No
C100204,0,No,12,Month-to-month,No,Electronic check,No,54.81,684.97,1,No
C100205,0,No,35,Month-to-month,Fiber optic,Bank transfer,Yes,101.21,3582.0,1,No
C100206,1,No,18,Month-to-month,Fiber optic,Mailed check,Yes,83.97,1517.38,2,No
C100207,0,Yes,52,One year,Fiber optic,Electronic check,Yes,130.0,6759.11,1,No
C100208,0,Yes,41,Month-to-month,Fiber optic,Electronic check,No,79.3,3268.89,0,Yes
C100209,1,Yes,53,Month-to-month,Fiber optic,Credit card,No,90.93,4804.85,3,Yes
C100210,0,No,68,One year,Fiber optic,Electronic check,Yes,78.71,5355.53,1,Yes
C100211,0,Yes,53,One year,DSL,Bank transfer,Yes,67.03,3548.2,0,No
C100212,0,No,24,Month-to-month,No,Mailed check,Yes,62.24,1457.23,3,Yes
C100213,0,Yes,14,Two year,DSL,Bank transfer,Yes,78.83,1106.81,2,Yes
C100214,0,Yes,38,One year,Fiber optic,Electronic check,Yes,85.64,3243.3,0,Yes
C100215,1,No,32,One year,DSL,Electronic check,Yes,104.63,3342.1,1,No
C100216,0,Yes,22,Month-to-month,Fiber optic,Mailed check,Yes,79.27,1753.03,0,Yes
C100217,0,Yes,59,Month-to-month,Fiber optic,Bank transfer,Yes,56.11,3342.3,1,No
C100218,1,No,66,Two year,Fiber optic,Electronic check,Yes,60.19,3951.32,3,No
C100219,0,No,27,Month-to-month,Fiber optic,Mailed check,No,30.31,809.96,0,Yes
C100220,0,Yes,49,Month-to-month,Fiber optic,Mailed check,Yes,119.84,5853.03,1,No
C100221,0,Yes,71,Month-to-month,No,Electronic check,No,53.76,3796.21,2,No
C100222,0,Yes,0,One year,DSL,Mailed check,No,99.02,,0,No
C100223,0,No,26,Two year,DSL,Electronic check,Yes,78.3,2030.89,0,No
C100224,0,Yes,53,Month-to-month,Fiber optic,Mailed check,Yes,79.11,4207.48,1,No
C100225,0,No,36,Two year,No,Electronic check,Yes,66.48,2401.29,1,No
C100226,0,No,57,Month-to-month,DSL,Mailed check,Yes,46.37,2616.67,0,Yes
C100227,0,No,34,One year,Fiber optic,Electronic check,No,40.94,1424.31,2,Yes
C100228,0,No,4,One year,DSL,Mailed check,No,121.85,511.01,0,No
C100229,0,No,31,Month-to-month,DSL,Mailed check,No,73.42,2253.49,0,No
C100230,0,No,29,Month-to-month,Fiber optic,Credit card,Yes,103.76,3039.64,2,No
C100231,0,No,61,Month-to-month,Fiber optic,Mailed check,No,111.55,6812.72,2,Yes
C100232,1,Yes,10,Two year,DSL,Credit card,No,57.67,572.79,0,No
C100233,0,No,11,One year,Fiber optic,Electronic check,Yes,82.71,918.76,1,Yes
C100234,0,No,10,Two year,Fiber optic,Mailed check,No,71.35,712.86,0,No
C100235,0,Yes,41,Two year,Fiber optic,Electronic check,Yes,35.28,1460.11,4,No
C100236,0,Yes,72,Month-to-month,No,Mailed check,No,64.44,4644.36,2,No
C100237,0,Yes,45,One year,Fiber optic,Bank transfer,Yes,87.63,3934.91,4,No
C100238,0,No,59,Month-to-month,Fiber optic,Credit card,Yes,55.03,3196.12,2,Yes
C100239,0,Yes,62,Month-to-month,Fiber optic,Mailed check,Yes,60.25,3748.68,2,Yes
C100240,0,Yes,43,Two year,No,Bank transfer,No,64.8,2777.06,1,No
C100241,0,Yes,44,One year,DSL,Electronic check,No,130.0,5739.45,0,No
C100242,1,Yes,17,Month-to-month,No,Electronic check,No,18.0,318.04,0,Yes
C100243,1,No,70,Month-to-month,Fiber optic,Credit card,No,85.05,5944.81,1,Yes
C100244,0,No,57,One year,Fiber optic,Electronic check,Yes,62.4,3582.37,2,No
C100245,0,No,63,Two year,DSL,Electronic check,No,50.78,3204.26,2,No
C100246,0,No,71,One year,Fiber optic,Credit card,No,61.66,4381.95,1,Yes
C100247,0,Yes,25,Month-to-month,No,Credit card,No,90.02,2247.05,1,No
C100248,1,No,10,Month-to-month,No,Bank transfer,Yes,91.74,959.49,3,Yes
C100249,0,Yes,62,Month-to-month,DSL,Mailed check,Yes,75.58,4668.13,1,No
C100250,0,Yes,34,One year,No,Credit card,Yes,102.78,3486.45,1,Yes
C100251,0,Yes,69,Two year,DSL,Electronic check,Yes,108.06,7425.21,1,No
C100252,1,No,50,Month-to-month,Fiber optic,Mailed check,No,94.49,4742.67,2,No
C100253,0,Yes,18,Month-to-month,DSL,Mailed check,No,53.61,950.43,0,Yes
C100254,0,No,25,Month-to-month,Fiber optic,Credit card,No,84.83,2109.0,2,Yes
C100255,0,No,44,One year,No,Credit card,Yes,84.98,3726.2,0,No
C100256,0,No,28,Two year,Fiber optic,Bank transfer,No,45.53,1276.41,3,No
C100257,0,No,20,Month-to-month,Fiber optic,Electronic check,No,22.92,427.13,1,No
C100258,0,Yes,15,Month-to-month,DSL,Mailed check,Yes,18.0,213.92,1,No
C100259,0,No,47,One year,Fiber optic,Electronic check,Yes,72.1,3400.14,1,Yes
C100260,0,Yes,2,Month-to-month,Fiber optic,Credit card,No,78.94,105.04,1,Yes
C100261,0,No,6,Two year,DSL,Electronic check,Yes,34.55,228.65,0,No
C100262,0,Yes,3,Month-to-month,Fiber optic,Electronic check,No,101.38,343.1,1,Yes
C100263,0,No,53,Month-to-month,DSL,Bank transfer,No,74.57,3948.1,0,Yes
C100264,0,Yes,2,Two year,Fiber optic,Mailed check,No,110.48,253.45,2,No
C100265,0,No,30,Month-to-month,Fiber optic,Credit card,Yes,81.12,2432.99,1,No
C100266,0,Yes,8,Month-to-month,Fiber optic,Electronic check,No,38.01,344.06,1,Yes
C100267,0,Yes,42,Month-to-month,DSL,Credit card,Yes,83.75,3506.09,1,No
C100268,0,Yes,2,Month-to-month,No,Electronic check,Yes,90.1,121.08,3,Yes
C100269,0,No,1,Month-to-month,Fiber optic,Electronic check,Yes,53.57,51.57,1,Yes
C100270,1,Yes,30,Month-to-month,No,Mailed check,No,26.74,844.9,1,Yes
C100271,1,Yes,50,Month-to-month,DSL,Electronic check,No,73.01,3663.87,0,No
C100272,0,Yes,8,Month-to-month,DSL,Bank transfer,Yes,39.97,306.88,1,Yes
C100273,0,Yes,36,One year,DSL,Electronic check,No,103.63,3738.9,0,Yes
C100274,0,Yes,59,One year,DSL,Electronic check,Yes,57.78,3433.3,2,Yes
C100275,1,Yes,45,Month-to-month,No,Bank transfer,No,121.74,5476.16,1,Yes
C100276,0,Yes,54,Month-to-month,DSL,Electronic check,Yes,18.0,1037.66,2,No
C100277,0,No,23,Month-to-month,DSL,Bank transfer,Yes,74.04,1689.98,2,No
C100278,0,No,68,Two year,Fiber optic,Bank transfer,Yes,112.88,7700.9,3,No
C100279,0,Yes,10,Two year,Fiber optic,Electronic check,Yes,43.29,451.95,1,No
C100280,0,Yes,44,Month-to-month,DSL,Bank transfer,No,65.22,2852.18,1,No
C100281,0,No,31,Month-to-month,Fiber optic,Electronic check,No,57.91,1784.6,1,Yes
C100282,0,No,2,Month-to-month,Fiber optic,Mailed check,No,49.49,124.43,3,Yes
C100283,1,No,68,Month-to-month,Fiber optic,Electronic check,Yes,77.34,5262.74,1,Yes
C100284,0,No,51,One year,Fiber optic,Credit card,No,31.14,1596.59,1,No
C100285,1,Yes,16,Month-to-month,DSL,Mailed check,No,66.67,1025.82,2,Yes
C100286,0,Yes,3,Month-to-month,DSL,Mailed check,No,85.48,272.84,0,Yes
C100287,0,No,49,Month-to-month,Fiber optic,Credit card,No,63.55,3121.13,1,No
C100288,1,No,39,Month-to-month,Fiber optic,Electronic check,Yes,39.99,1558.01,1,Yes
C100289,1,No,3,Month-to-month,Fiber optic,Credit card,Yes,100.91,311.75,1,No
C100290,1,Yes,71,Two year,Fiber optic,Bank transfer,Yes,91.91,6515.38,0,No
C100291,1,Yes,52,Month-to-month,DSL,Credit card,No,38.76,2000.72,0,No
C100292,0,No,33,Two year,DSL,Credit card,Yes,31.18,1022.89,3,No
C100293,0,No,17,Month-to-month,DSL,Credit card,Yes,41.44,692.87,0,No
C100294,0,Yes,19,Two year,DSL,Electronic check,Yes,86.36,1695.35,0,No
C100295,1,Yes,32,Two year,No,Credit card,Yes,78.27,2527.44,1,No
C100296,0,Yes,4,Two year,DSL,Credit card,Yes,93.7,350.59,0,No
C100297,1,No,26,Two year,DSL,Bank transfer,Yes,60.22,1616.63,1,No
C100298,1,Yes,15,One year,DSL,Electronic check,Yes,42.26,623.08,2,Yes
C100299,0,Yes,8,One year,Fiber optic,Credit card,Yes,97.57,781.3,1,Yes
C100300,0,Yes,9,One year,No,Electronic check,Yes,53.4,503.04,1,Yes
C100301,0,No,25,Month-to-month,Fiber optic,Mailed check,Yes,75.6,1840.75,1,Yes
C100302,0,No,27,Month-to-month,Fiber optic,Mailed check,No,23.5,628.57,2,Yes
C100303,0,No,25,Month-to-month,No,Electronic check,No,52.91,1308.42,0,No
C100304,0,Yes,50,Two year,DSL,Bank transfer,Yes,100.28,5019.13,0,No
C100305,1,Yes,38,Month-to-month,Fiber optic,Electronic check,Yes,48.51,1852.63,0,Yes
C100306,0,No,14,Month-to-month,Fiber optic,Bank transfer,No,94.44,1320.23,2,Yes
C100307,0,Yes,70,One year,Fiber optic,Credit card,No,18.0,1256.91,0,No
C100308,1,Yes,53,Month-to-month,DSL,Mailed check,No,53.22,2847.29,2,Yes
C100309,0,No,34,Month-to-month,Fiber optic,Bank transfer,No,64.86,2212.78,2,No
C100310,0,Yes,3,Month-to-month,No,Electronic check,Yes,122.28,367.88,5,Yes
C100311,0,Yes,66,Month-to-month,No,Credit card,Yes,34.93,2309.08,2,No
C100312,0,No,54,Month-to-month,DSL,Credit card,Yes,90.13,4912.92,3,No
C100313,0,Yes,33,Month-to-month,DSL,Electronic check,No,101.71,3360.75,3,No
C100314,0,No,11,Month-to-month,Fiber optic,Bank transfer,Yes,48.36,519.1,0,No
